,id,Category_name,Category_number,Product,Manufacturer / product label / country of origin,Procured_in,Antioxidant_content_in_mmol/100g,Comment,Query,Amazon_url
0,1,Berries and berry products,1,"Amla berries, dried",India,India,261.53,3,Amla+berries++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Amla+berries++dried
1,2,Berries and berry products,1,"Amla, Indian Gooseberries, whole, canned","Roopaks, Ajmal Khan, N. Dehli",India,13.27,3,Amla++Indian+Gooseberries++whole++canned,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Amla++Indian+Gooseberries++whole++canned
2,3,Berries and berry products,1,"Amla, syrup from canned Indian Gooseberries","Roopaks, Ajmal Khan, N. Dehli",India,29.7,3,Amla++syrup+from+canned+Indian+Gooseberries,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Amla++syrup+from+canned+Indian+Gooseberries
3,4,Berries and berry products,1,"Bilberries, wild",Norway,Norway,7.57,3,Bilberries++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Bilberries++wild
4,5,Berries and berry products,1,"Bilberries, wild",Norway,Norway,8.55,4,Bilberries++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Bilberries++wild
5,6,Berries and berry products,1,"Bilberries, wild, dried","The Norwegian Crop Research Institute, Norway",Norway,48.32,5,Bilberries++wild++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Bilberries++wild++dried
6,7,Berries and berry products,1,"Blackberries, cultivated",,USA,4.02,6,Blackberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackberries++cultivated
7,8,Berries and berry products,1,"Blackberries, cultivated","Solabær, Sola, Norway",Norway,4.13,3,Blackberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackberries++cultivated
8,9,Berries and berry products,1,"Blackberries, cultivated",,Norway,6.14,3,Blackberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackberries++cultivated
9,10,Berries and berry products,1,"Blackberries, cultivated",Belgium,Norway,3.84,3,Blackberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackberries++cultivated
10,11,Berries and berry products,1,"Blackberries, cultivated, canned, drained","S&W Fine Food, USA",Norway,2.34,3,Blackberries++cultivated++canned++drained,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackberries++cultivated++canned++drained
11,12,Berries and berry products,1,"Blackberries, cultivated, frozen",Local grocery,USA,4.06,6,Blackberries++cultivated++frozen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackberries++cultivated++frozen
12,13,Berries and berry products,1,"Blackberries, cultivated, frozen",Wholesaler,USA,3.89,6,Blackberries++cultivated++frozen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackberries++cultivated++frozen
13,14,Berries and berry products,1,"Blackberries, cultivated, with sugar","Findus, Norway",Norway,4.76,3,Blackberries++cultivated++with+sugar,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackberries++cultivated++with+sugar
